Points:0,Points:1,C
5.5833333e+00,2.9411765e-02,9.5285121e-03
1.0828077e+00,3.0169386e-02,3.4463813e-12
3.3375000e+00,3.1490122e-02,1.4453285e-04
2.8090030e+00,3.5275486e-02,1.3354978e-04
3.8625000e+00,3.6676048e-02,1.7506900e-04
7.7940461e+00,3.6920620e-02,2.2340577e-02
2.2875000e+00,3.7272246e-02,1.3504461e-04
6.7559728e+00,3.7311784e-02,2.2150262e-02
7.4841588e-01,3.7395326e-02,2.0140805e-09
6.0833333e+00,3.9078925e-02,2.5978276e-02
9.3823529e+00,3.9191146e-02,1.9258640e-02
2.1296628e+00,3.9441444e-02,1.3735537e-04
9.7252239e+00,3.9750959e-02,1.0587517e-02
9.2993125e-01,4.0270347e-02,3.1242280e-10
8.1423821e+00,4.0378629e-02,2.3670092e-02
1.9375000e+00,4.0751404e-02,1.2470008e-04
5.7650662e+00,4.0752929e-02,1.3331506e-02
1.5787314e+00,4.1353947e-02,1.2535840e-05
8.8665366e+00,4.2071099e-02,2.1804072e-02
1.7747125e+00,4.2947772e-02,1.1998049e-04
3.0069141e+00,4.5430040e-02,1.5161764e-04
3.5165845e+00,4.5747178e-02,1.5938997e-04
7.2528885e+00,4.5752691e-02,2.2640608e-02
9.0386757e+00,4.5971044e-02,2.1679720e-02
6.4105325e+00,4.6066328e-02,2.5580247e-02
1.0294656e-01,4.7391006e-02,1.5431241e-09
6.6029162e+00,4.7713700e-02,2.4182388e-02
2.8252351e-01,4.7854552e-02,1.8041748e-09
3.9363462e-01,4.7854552e-02,1.6838820e-09
8.6608566e+00,4.8359608e-02,2.4078778e-02
5.9302576e-01,4.8525792e-02,2.1933753e-09
4.3814142e+00,4.8753710e-02,1.8708245e-04
4.8930782e+00,4.8795220e-02,1.6126994e-04
4.5891706e+00,4.9113774e-02,1.8406476e-04
4.7058372e+00,4.9113774e-02,1.7847966e-04
1.2295988e+00,4.9658157e-02,2.4786411e-10
4.2101997e+00,5.0888706e-02,1.5261477e-04
2.6233585e+00,5.1520444e-02,1.4509615e-04
3.6850261e+00,5.2171656e-02,1.7181159e-04
7.4190488e+00,5.2777124e-02,3.2506027e-02
1.3937019e+00,5.3202608e-02,9.9085005e-08
7.6322626e+00,5.3532374e-02,2.4346148e-02
6.9145603e+00,5.3773381e-02,2.0987206e-02
9.2058824e+00,5.3915793e-02,2.3190747e-02
5.9166667e+00,5.4280594e-02,1.4576917e-02
9.5662344e+00,5.5404614e-02,1.8973358e-02
2.4531986e+00,5.5831522e-02,1.1796953e-04
9.8831007e+00,5.8075760e-02,7.9041576e-03
6.2500000e+00,5.8235035e-02,2.5570268e-02
3.1785476e+00,5.8845483e-02,1.6038041e-04
7.0882353e+00,5.9655610e-02,1.5935580e-02
8.3025717e+00,6.1172443e-02,2.3770662e-02
7.9510659e+00,6.2877752e-02,2.6086762e-02
4.0375000e+00,6.3994561e-02,1.9306551e-04
8.4818170e+00,6.5553681e-02,2.4921111e-02
1.0127389e+00,7.0439734e-02,8.4599353e-11
2.2171628e+00,7.6713691e-02,1.3721123e-04
3.4290845e+00,7.7237300e-02,1.4603486e-04
1.1457398e+00,7.9827543e-02,6.1962169e-11
1.8622125e+00,8.3699176e-02,1.2869918e-04
6.6922224e+00,8.5025485e-02,2.4116004e-02
6.7477497e-01,8.5921118e-02,2.0687691e-09
2.7073614e+00,8.6795930e-02,1.4407984e-04
8.9640358e+00,8.8042143e-02,2.2299390e-02
5.5277778e+00,8.8235294e-02,1.2792760e-02
3.7725261e+00,8.8847704e-02,1.7495796e-04
5.6437489e+00,8.9648111e-02,1.4190602e-02
3.2660476e+00,9.0335605e-02,1.5463513e-04
7.7204263e+00,9.0452995e-02,2.2420618e-02
6.8371998e+00,9.1085166e-02,2.1896971e-02
2.3656986e+00,9.3103768e-02,1.1570856e-04
9.2941176e+00,9.3106939e-02,2.0317460e-02
6.0000000e+00,9.3359519e-02,1.6753091e-02
2.8714160e+00,9.4071484e-02,1.3432181e-04
1.4696555e+00,9.4556554e-02,3.5820232e-06
9.4779991e+00,9.4595759e-02,2.1338729e-02
5.8483995e+00,9.5033523e-02,1.3540902e-02
9.6443994e+00,9.5155573e-02,1.8321562e-02
2.1880341e-01,9.5245558e-02,1.5729060e-09
6.1666667e+00,9.7313960e-02,2.6908291e-02
9.7847952e+00,9.7826720e-02,1.7407324e-02
4.7739155e+00,9.7908994e-02,1.8868777e-04
3.6016106e+00,9.7918834e-02,1.6099531e-04
7.3189961e+00,9.8529814e-02,2.1064057e-02
4.2916139e+00,9.9642415e-02,1.8088206e-04
7.8627591e+00,9.9798372e-02,2.5099450e-02
9.1269110e+00,9.9886837e-02,2.2900461e-02
3.9500000e+00,1.0067061e-01,1.7269467e-04
5.7143707e+00,1.0098928e-01,1.4896200e-02
8.2096597e+00,1.0155107e-01,2.3555563e-02
1.2899673e+00,1.0286076e-01,8.8402284e-09
4.7391006e-02,1.0294656e-01,1.5418542e-09
8.1050943e-01,1.0299909e-01,2.1453103e-09
8.0346244e+00,1.0325638e-01,2.3503918e-02
2.9526605e+00,1.0422604e-01,1.4705428e-04
3.1104617e+00,1.0427552e-01,1.5212681e-04
6.3271992e+00,1.0430136e-01,2.5999276e-02
8.8108520e+00,1.0489433e-01,2.1941105e-02
7.1646532e+00,1.0540830e-01,2.2706933e-02
8.8091369e-01,1.0587411e-01,2.4535261e-09
1.6382769e+00,1.0707386e-01,1.4163187e-04
2.5265570e+00,1.0735197e-01,1.4378722e-04
2.0879489e+00,1.0746681e-01,1.4314908e-04
4.9514116e+00,1.0831903e-01,1.1743627e-04
1.7175914e+00,1.0866769e-01,1.3849113e-04
2.0124528e+00,1.0877677e-01,1.2965026e-04
8.7228190e+00,1.1118284e-01,2.4517874e-02
6.9995277e+00,1.1342899e-01,1.9688627e-02
8.5544383e+00,1.1391329e-01,2.3575989e-02
4.1226997e+00,1.1488327e-01,1.6050160e-04
9.9419242e+00,1.1689929e-01,2.1666334e-02
4.4025172e-01,1.1936009e-01,2.1114763e-09
5.2853175e-01,1.2003133e-01,2.1985350e-09
6.4737524e+00,1.2149200e-01,2.5774223e-02
4.4526411e+00,1.2183056e-01,1.8754355e-04
4.5437308e+00,1.2219063e-01,2.0276729e-04
6.5550249e+00,1.2313938e-01,2.5790100e-02
8.3726240e+00,1.2672612e-01,2.4103061e-02
7.4726228e+00,1.3193075e-01,3.1229282e-02
7.5681896e+00,1.3268600e-01,2.4114280e-02
1.0295374e+00,1.3989768e-01,1.0090226e-10
3.4166838e+00,1.4823975e-01,1.3532562e-04
5.5881933e+00,1.4847164e-01,1.5607163e-02
1.1069827e+00,1.4928549e-01,3.0663710e-10
2.7128147e+00,1.6073133e-01,1.3061323e-04
2.2435057e+00,1.6122936e-01,1.1728911e-04
3.3119802e+00,1.6133806e-01,1.3670932e-04
6.7200001e+00,1.6513856e-01,2.5000294e-02
2.8185359e+00,1.6800688e-01,1.2789624e-04
1.8679205e+00,1.6873445e-01,1.3159651e-04
8.9681417e+00,1.7040270e-01,2.1613463e-02
3.7911333e+00,1.7117815e-01,1.5314510e-04
6.8094221e+00,1.7119824e-01,2.4920870e-02
1.4650636e+00,1.7466268e-01,4.0744527e-06
2.4464303e-01,1.7664073e-01,1.5927410e-09
2.3337082e+00,1.7761944e-01,1.1380541e-04
6.0255663e+00,1.8033288e-01,2.5297938e-02
9.4635667e+00,1.8044111e-01,2.1097371e-02
4.7481220e+00,1.8153181e-01,1.8125433e-04
6.7818052e-01,1.8156351e-01,1.9661519e-09
9.2934116e+00,1.8193145e-01,2.0955999e-02
6.1366774e+00,1.8428732e-01,2.6370376e-02
8.1613766e+00,1.8710457e-01,2.0335661e-02
1.5753517e+00,1.8717999e-01,5.4358806e-05
8.8737813e+00,1.8725489e-01,2.1448596e-02
9.1146064e+00,1.8792422e-01,2.2127390e-02
8.0451649e+00,1.8880988e-01,2.0318186e-02
7.7369894e+00,1.8982461e-01,2.2599567e-02
2.1726252e+00,1.9198248e-01,1.1794600e-04
1.7816327e+00,1.9370296e-01,1.3503505e-04
1.9598275e+00,1.9381204e-01,1.3134980e-04
9.6629016e+00,1.9430050e-01,2.0290467e-02
7.2950374e+00,1.9446215e-01,2.4027491e-02
3.0056470e+00,1.9591178e-01,1.2304752e-04
3.1051149e+00,1.9596126e-01,1.2291284e-04
4.9195682e+00,1.9666776e-01,1.5376520e-04
9.1898937e-01,1.9680506e-01,2.1152317e-09
9.7444738e+00,1.9697165e-01,2.0160871e-02
4.2929950e+00,1.9778004e-01,1.7356413e-04
1.2621895e+00,1.9838977e-01,2.7094518e-08
5.8400208e+00,1.9841294e-01,2.1478860e-02
7.5835943e-01,1.9864148e-01,2.0621798e-09
3.9513954e+00,1.9891330e-01,1.5376723e-04
7.8204986e+00,1.9916999e-01,2.3830994e-02
3.5962945e+00,1.9918041e-01,1.2860363e-04
9.8480537e-01,2.0065923e-01,2.9913920e-10
7.1995181e+00,2.0134063e-01,2.3349671e-02
5.7615475e+00,2.0436869e-01,2.1385522e-02
8.6741651e+00,2.0970086e-01,2.1609561e-02
4.1305352e+00,2.1074262e-01,1.6403785e-04
9.9062087e+00,2.1127073e-01,1.1359835e-02
2.5225847e+00,2.1136890e-01,1.1795821e-04
9.2790132e-02,2.1207773e-01,1.4564366e-09
8.5646079e+00,2.1243131e-01,2.1537670e-02
9.3672145e+00,2.1386101e-01,2.0776190e-02
1.1630638e+00,2.1464511e-01,8.1174695e-09
9.0304769e+00,2.1636898e-01,2.1305767e-02
4.5934536e+00,2.1651576e-01,2.0085918e-04
3.8825025e+00,2.1724918e-01,1.5261585e-04
3.4988677e+00,2.1801121e-01,1.2857156e-04
3.9626243e-01,2.1985876e-01,1.9917168e-09
4.3956888e+00,2.1996819e-01,1.7540993e-04
4.8354414e+00,2.2076676e-01,1.8255161e-04
6.3271312e+00,2.2146932e-01,2.5697611e-02
3.2931323e+00,2.2434393e-01,1.1541719e-04
4.6714333e+00,2.2706172e-01,2.0183016e-04
5.6098343e+00,2.2821797e-01,1.9614620e-02
2.6248393e+00,2.2947277e-01,1.1468914e-04
6.8469018e+00,2.2970692e-01,2.5420504e-02
3.1992939e-01,2.2974839e-01,1.8739586e-09
7.4309323e+00,2.3021890e-01,2.5871020e-02
2.8353248e+00,2.3117265e-01,1.1825330e-04
6.9968061e+00,2.3131941e-01,2.4764576e-02
5.3282131e-01,2.3148576e-01,2.3178431e-09
6.5984984e+00,2.3360490e-01,2.6187709e-02
1.7418531e-01,2.3791735e-01,1.4685967e-09
6.6741674e+00,2.3829230e-01,2.6105922e-02
6.4634476e+00,2.3852208e-01,2.5884703e-02
3.7423696e+00,2.3900340e-01,1.3033281e-04
1.4043606e+00,2.3980083e-01,4.2391345e-06
2.3719272e+00,2.4405811e-01,1.1764135e-04
4.2194163e+00,2.4488569e-01,1.6434252e-04
3.1835195e+00,2.4502722e-01,1.1278812e-04
8.3447997e+00,2.4611494e-01,2.0975627e-02
7.3533996e+00,2.4699761e-01,2.4356460e-02
7.5966702e+00,2.4822346e-01,1.9983265e-02
2.9411914e+00,2.4892299e-01,1.1686611e-04
9.8070638e+00,2.5159213e-01,1.9030605e-02
8.1846522e+00,2.5428400e-01,2.0001550e-02
1.3256192e+00,2.5522371e-01,6.3319782e-07
6.0072087e-01,2.5562261e-01,2.2912196e-09
9.1558643e+00,2.5672163e-01,2.1867311e-02
9.2262864e+00,2.5750876e-01,2.1704782e-02
6.1735214e+00,2.5770480e-01,2.5906069e-02
3.6601130e+00,2.5793454e-01,1.2618460e-04
4.0467309e+00,2.5809660e-01,1.4288339e-04
5.9826429e+00,2.5846140e-01,2.6695238e-02
8.8316938e+00,2.6020975e-01,2.1736369e-02
9.5203631e+00,2.6177023e-01,2.0974177e-02
2.4582785e+00,2.6355937e-01,1.1883523e-04
1.5694571e+00,2.6408473e-01,5.6990708e-05
7.9704759e+00,2.6535969e-01,2.0072788e-02
4.9681566e+00,2.6692016e-01,1.5205379e-04
6.9275136e+00,2.6748426e-01,2.4755695e-02
7.6773063e+00,2.6844146e-01,2.2563878e-02
9.9642844e+00,2.7084203e-01,1.7538321e-02
2.1819747e+00,2.7207207e-01,1.0987250e-04
5.7125666e+00,2.7277386e-01,2.1348332e-02
1.0213064e+00,2.7409239e-01,1.8275340e-09
5.8931424e+00,2.7486746e-01,2.7163573e-02
9.6121212e+00,2.7506981e-01,2.0240598e-02
1.9610482e+00,2.7555087e-01,1.1866876e-04
4.5399126e-02,2.7579783e-01,1.5367125e-09
8.7201105e+00,2.7636722e-01,2.1521420e-02
7.1719713e+00,2.7737387e-01,2.3458550e-02
1.1221196e+00,2.7869046e-01,8.0284440e-09
8.6651574e-01,2.7917380e-01,1.8122135e-09
7.8588514e+00,2.7917781e-01,2.0368272e-02
6.4001597e+00,2.8026437e-01,2.6006607e-02
1.7848683e+00,2.8140702e-01,1.2195749e-04
4.5136181e-01,2.8345864e-01,2.2418181e-09
7.7629005e-01,2.8388525e-01,1.8940862e-09
5.5494187e+00,2.8562869e-01,1.9065553e-02
6.2589982e+00,2.8789940e-01,2.5314944e-02
8.2639344e+00,2.8811932e-01,2.0223023e-02
7.5109524e+00,2.9297924e-01,2.2766389e-02
8.9862954e+00,2.9349975e-01,2.1586773e-02
3.3747558e+00,2.9695183e-01,1.0783555e-04
4.8315684e+00,2.9800011e-01,1.9472499e-04
7.0755614e+00,2.9933196e-01,2.5690461e-02
6.5408329e+00,3.0292128e-01,2.5955967e-02
3.4757876e+00,3.0371742e-01,1.1128590e-04
8.5191934e+00,3.0374553e-01,2.0188633e-02
4.4109660e+00,3.0392832e-01,1.6976492e-04
1.4696066e+00,3.0485691e-01,1.4883971e-05
4.6899533e+00,3.0692913e-01,2.1140590e-04
2.7538277e+00,3.0869778e-01,1.0121099e-04
6.8170515e+00,3.1014312e-01,2.6007190e-02
9.3542030e+00,3.1205444e-01,2.1086006e-02
4.5666207e+00,3.1291439e-01,1.8695117e-04
2.6490634e+00,3.1427346e-01,1.0132068e-04
1.6276401e+00,3.1933695e-01,5.2965138e-05
3.1622649e+00,3.1942222e-01,9.5871671e-05
8.1156155e+00,3.2034163e-01,2.0082647e-02
8.8818727e+00,3.2048833e-01,2.1891279e-02
2.9621629e+00,3.2292236e-01,9.6387376e-05
8.4223759e+00,3.2461633e-01,1.9733809e-02
6.7337391e+00,3.2478818e-01,2.6272394e-02
2.1114377e+00,3.2556394e-01,1.0895816e-04
9.8110092e+00,3.2633585e-01,1.8518346e-02
4.0443626e+00,3.2838450e-01,1.1556119e-04
2.0278129e+00,3.2852314e-01,1.1236439e-04
8.0176509e+00,3.2971200e-01,2.0160356e-02
2.7105484e-01,3.3101460e-01,1.6634300e-09
1.7160848e+00,3.3173009e-01,9.0307281e-05
7.3517819e+00,3.3203833e-01,2.3720076e-02
3.8706306e+00,3.3315250e-01,1.0607541e-04
4.9156952e+00,3.3342491e-01,1.8918404e-04
6.1160949e+00,3.3411031e-01,2.6100383e-02
4.2167963e+00,3.3584781e-01,1.3148399e-04
9.8559285e-01,3.3598855e-01,1.7705822e-09
1.8723768e+00,3.3817733e-01,1.2411979e-04
4.7627689e+00,3.3863256e-01,2.1724925e-04
6.0363275e+00,3.3882135e-01,2.6203287e-02
3.7913049e+00,3.3941111e-01,1.0722761e-04
1.9377659e-01,3.3964711e-01,1.5456131e-09
9.2720984e+00,3.4097754e-01,2.1001974e-02
9.4411173e+00,3.4375019e-01,2.0664534e-02
2.3185455e+00,3.4398262e-01,1.0584076e-04
9.9101541e+00,3.4483798e-01,1.9267105e-02
8.9661816e-01,3.4492413e-01,1.8446109e-09
1.3109748e+00,3.4515366e-01,7.6561986e-07
6.8976633e+00,3.4792046e-01,2.6030666e-02
9.0971976e+00,3.4875545e-01,2.0817508e-02
5.9420805e-01,3.5110461e-01,2.3203311e-09
4.4969226e+00,3.5130310e-01,1.7184124e-04
3.6565837e+00,3.5159931e-01,1.0198327e-04
4.3541445e-01,3.5373395e-01,2.1852312e-09
2.4591921e+00,3.5520466e-01,1.0185899e-04
7.2658731e+00,3.5553611e-01,2.3868153e-02
9.0117582e+00,3.5708880e-01,2.0585463e-02
3.0603306e+00,3.5772159e-01,9.2562497e-05
2.2485054e+00,3.5980273e-01,1.0531767e-04
1.1508693e+00,3.6074495e-01,1.3216306e-08
6.8959833e-01,3.6228928e-01,2.3168969e-09
3.3451788e+00,3.6268102e-01,9.6058263e-05
3.2423007e+00,3.6446812e-01,9.3143923e-05
4.6280844e+00,3.6881872e-01,1.8849658e-04
5.7158294e+00,3.6976775e-01,1.9803303e-02
8.7039136e+00,3.6978968e-01,2.1196327e-02
4.1255469e+00,3.7199265e-01,1.1541219e-04
7.6884673e+00,3.7225810e-01,2.2575422e-02
7.5100055e+00,3.7230110e-01,2.3409635e-02
4.3056522e+00,3.7270230e-01,1.2978336e-04
2.8854067e+00,3.7335391e-01,8.9564717e-05
1.4593229e+00,3.7394689e-01,1.4195298e-05
8.2323679e+00,3.7618151e-01,2.0493002e-02
2.7829380e+00,3.7687968e-01,9.1049281e-05
3.5696851e+00,3.7855140e-01,9.8091821e-05
5.8758127e+00,3.7870687e-01,2.6267166e-02
9.6267738e+00,3.8004148e-01,2.0365226e-02
7.8347573e+00,3.8124150e-01,1.9846874e-02
8.1407862e+00,3.8402276e-01,2.0011648e-02
5.6130971e+00,3.8403539e-01,2.0117833e-02
3.9371551e+00,3.8510452e-01,9.6452663e-05
4.5399126e-02,3.8690894e-01,1.3631879e-09
6.2433264e+00,3.8871740e-01,2.6134203e-02
6.5228596e+00,3.8984470e-01,2.5855830e-02
1.2301611e+00,3.9017401e-01,1.9443330e-07
3.3144052e-01,3.9140028e-01,1.8195018e-09
9.7217294e+00,3.9234070e-01,2.1341652e-02
8.6125537e+00,3.9443755e-01,2.0989261e-02
7.4283677e+00,3.9458148e-01,2.3993186e-02
8.8493689e+00,3.9627504e-01,2.1542042e-02
6.4237626e+00,3.9654714e-01,2.6027219e-02
5.1036113e-01,3.9724308e-01,2.1958708e-09
1.3794325e+00,3.9882076e-01,5.2704681e-06
2.5889008e+00,4.0135358e-01,9.5724382e-05
3.7375278e+00,4.0291710e-01,1.0050979e-04
6.7040247e+00,4.0420335e-01,2.5885069e-02
6.1581901e+00,4.0618999e-01,2.5375078e-02
2.3713147e+00,4.0694375e-01,9.9199755e-05
7.9829274e+00,4.0860929e-01,2.1539985e-02
7.0760636e+00,4.0960386e-01,2.5875923e-02
6.9272418e+00,4.1099714e-01,2.6431031e-02
1.0078355e+00,4.1133191e-01,2.3734460e-09
2.5120971e+00,4.1250925e-01,9.7114106e-05
9.2397859e+00,4.1621377e-01,2.1262187e-02
5.7879699e+00,4.1872966e-01,2.5016144e-02
7.7634290e+00,4.2166208e-01,1.9692800e-02
9.9041198e+00,4.2332170e-01,1.7908080e-02
4.9475385e+00,4.2364762e-01,2.1103806e-04
9.1353072e+00,4.2477881e-01,2.0790407e-02
1.1238142e-01,4.2491860e-01,1.5435112e-09
8.9368414e+00,4.2719869e-01,2.0998758e-02
1.5938353e+00,4.2747598e-01,4.6228416e-05
6.0206269e+00,4.2810455e-01,2.5811867e-02
9.4615589e+00,4.2836613e-01,2.0771662e-02
4.7712768e+00,4.2862690e-01,2.1757254e-04
8.7829932e+00,4.2941893e-01,2.0877273e-02
1.8705796e+00,4.3013467e-01,1.3041417e-04
7.6068843e+00,4.3136196e-01,2.2562882e-02
1.0722988e+00,4.3149025e-01,9.9041981e-09
6.5867834e+00,4.3234286e-01,2.6129175e-02
7.1208665e-01,4.3461246e-01,2.5845960e-09
8.7929377e-01,4.3491378e-01,2.2243170e-09
2.0009654e+00,4.3543284e-01,1.1349204e-04
1.7345445e+00,4.3679315e-01,9.8244837e-05
7.2630476e+00,4.3715828e-01,2.4695201e-02
3.0596879e+00,4.4037029e-01,7.7618417e-05
8.0685925e+00,4.4091548e-01,2.0736722e-02
1.5253686e+00,4.4131374e-01,1.5609759e-05
2.1339105e+00,4.4156291e-01,1.0521135e-04
8.3799695e+00,4.4354527e-01,1.8970696e-02
3.2101575e+00,4.4381887e-01,7.6806082e-05
3.3638340e+00,4.4439260e-01,7.7599054e-05
6.2904343e+00,4.4445394e-01,2.6876530e-02
7.9116582e+00,4.4632067e-01,2.1890174e-02
7.0168902e+00,4.4671506e-01,2.6076993e-02
6.3791304e+00,4.4775000e-01,2.5958418e-02
4.4806258e+00,4.4951763e-01,1.3052545e-04
5.5636784e+00,4.5134788e-01,2.0193668e-02
9.5554574e+00,4.5135784e-01,2.0888895e-02
5.9496126e+00,4.5158400e-01,2.6179723e-02
4.3181933e+00,4.5161472e-01,1.0922308e-04
8.2708268e+00,4.5310607e-01,1.9238454e-02
2.9024426e+00,4.5772984e-01,7.7583618e-05
2.2029214e+00,4.5931139e-01,1.0446098e-04
4.6321259e+00,4.6017196e-01,1.7959544e-04
5.0866008e-01,4.6049123e-01,2.2254870e-09
3.5280404e+00,4.6114457e-01,7.6345651e-05
6.7525110e+00,4.6520965e-01,2.6280291e-02
3.9382443e+00,4.6590256e-01,8.0301806e-05
9.9582501e+00,4.6697280e-01,1.6895509e-02
7.1696481e+00,4.6926795e-01,2.5804291e-02
4.1201824e+00,4.6989430e-01,8.3904050e-05
6.1034340e+00,4.6995014e-01,2.5184137e-02
2.7594654e+00,4.7109877e-01,8.2399869e-05
8.1299168e-01,4.7152525e-01,2.0197376e-09
9.7376678e+00,4.7412828e-01,1.9968403e-02
1.9324036e+00,4.7441791e-01,1.1709668e-04
8.6123640e+00,4.7694085e-01,2.0893581e-02
4.8719196e+00,4.7821715e-01,2.2617395e-04
1.8015307e+00,4.7842741e-01,1.0288242e-04
9.5104340e-01,4.7854900e-01,2.6664520e-09
3.3852852e-01,4.7929792e-01,1.4593708e-09
1.6573371e+00,4.8000027e-01,5.8391669e-05
4.4072104e+00,4.8105527e-01,1.1011016e-04
3.1294790e+00,4.8142167e-01,7.5638311e-05
6.8912013e+00,4.8248429e-01,2.5737099e-02
1.3511966e+00,4.8623743e-01,4.1162010e-06
9.8209132e+00,4.8660715e-01,1.9176567e-02
3.2735052e+00,4.8678596e-01,7.5669389e-05
2.6285799e+00,4.8750126e-01,8.2824070e-05
4.7025026e+00,4.8827670e-01,1.8742961e-04
1.2449536e+00,4.8855377e-01,2.8413733e-07
2.9785562e+00,4.8994699e-01,7.7522552e-05
3.4171842e+00,4.9151571e-01,7.6635913e-05
8.9491199e+00,4.9265487e-01,2.0930075e-02
6.8267966e+00,4.9505898e-01,2.5689114e-02
2.0680036e+00,4.9696695e-01,1.1439266e-04
3.7214409e+00,4.9714587e-01,7.5254671e-05
9.2799037e+00,5.0010356e-01,2.1409763e-02
4.5543655e+00,5.0248217e-01,1.2666510e-04
4.4080139e-01,5.0487973e-01,1.4426140e-09
2.3826165e+00,5.0563086e-01,9.0963319e-05
9.3777551e+00,5.0650410e-01,2.1836977e-02
4.0400873e+00,5.0708419e-01,8.0376878e-05
7.4345076e+00,5.0739309e-01,2.3673815e-02
6.5660536e+00,5.0748582e-01,2.6140339e-02
8.5276631e+00,5.0932915e-01,1.9915698e-02
1.0964823e-01,5.1023187e-01,1.2479355e-09
2.4780903e+00,5.1089034e-01,9.2522867e-05
9.1069621e+00,5.1095106e-01,2.1403479e-02
8.4276821e+00,5.1279044e-01,1.9885691e-02
1.0857421e+00,5.1303545e-01,1.9273935e-08
6.6139923e-01,5.1592412e-01,3.0348285e-09
2.8380440e+00,5.1759481e-01,8.1362811e-05
2.7022752e+00,5.1914609e-01,7.8469746e-05
8.0649165e+00,5.2161205e-01,1.9428929e-02
7.5964963e+00,5.2234779e-01,2.1861297e-02
5.8253830e-01,5.2266112e-01,2.2516757e-09
7.3550963e+00,5.2647212e-01,2.4802202e-02
8.8077078e+00,5.2671695e-01,2.0760820e-02
4.2642478e+00,5.2678401e-01,8.4848731e-05
3.5988520e+00,5.2842125e-01,7.3755126e-05
6.4073517e+00,5.3171775e-01,2.6441143e-02
5.7773766e+00,5.3270629e-01,2.6131584e-02
3.8706068e+00,5.3289502e-01,6.9377312e-05
5.9361855e+00,5.3476046e-01,2.7181467e-02
9.0291063e+00,5.3544831e-01,2.0921230e-02
6.2774633e+00,5.3841121e-01,2.6945182e-02
