Points:0,Points:1,C
5.4444444e+00,2.0147073e-02,1.3934112e-05
4.8888869e+00,2.0192152e-02,1.3505277e-02
3.5189001e+00,2.4684589e-02,1.8802882e-02
4.0957020e+00,2.5309275e-02,1.7395702e-02
3.8660129e+00,2.5572404e-02,1.9968269e-02
6.8608904e+00,2.5648432e-02,1.3567288e-07
6.3880994e+00,2.6234011e-02,7.8571083e-07
4.9960585e+00,2.6375683e-02,5.5767099e-03
6.5589029e-02,2.6393726e-02,1.1273856e-06
5.6766446e+00,2.6395232e-02,5.6795975e-06
3.0649052e+00,2.6418940e-02,8.7838446e-03
1.7043534e+00,2.6626721e-02,2.1939038e-06
3.2869845e+00,2.8133131e-02,1.9557983e-02
3.1714733e+00,2.8841884e-02,1.2599857e-02
9.9315862e+00,2.8871688e-02,3.1893080e-14
8.7571951e+00,2.8875155e-02,4.1023441e-13
1.9317797e+00,2.9127535e-02,1.5895949e-06
8.1661110e+00,2.9863068e-02,3.5895738e-11
8.6404844e+00,3.0140986e-02,8.8682213e-13
3.6300992e+00,3.0363542e-02,2.0962498e-02
7.0998811e+00,3.0527043e-02,4.1338251e-08
4.2063799e+00,3.1340289e-02,1.9812789e-02
8.5234232e+00,3.1762159e-02,2.3696915e-12
8.0481344e+00,3.1877273e-02,1.2876839e-10
9.8220612e+00,3.1950597e-02,4.0964505e-14
6.7458939e+00,3.2017022e-02,3.1681562e-07
4.6657012e+00,3.2111831e-02,2.6467192e-02
4.4366407e+00,3.2154823e-02,1.3156761e-02
1.5922740e+00,3.2179611e-02,2.4187437e-06
8.2839511e+00,3.2490318e-02,1.5666374e-11
8.8759943e+00,3.2573788e-02,2.1425485e-13
7.2183033e+00,3.2673002e-02,2.9677874e-08
6.6272112e+00,3.2770933e-02,4.8483660e-07
4.3206110e+00,3.2772312e-02,1.4312135e-02
5.3336124e+00,3.2794213e-02,1.0151797e-04
5.5592105e+00,3.3130114e-02,9.6018251e-06
4.5493561e+00,3.3149972e-02,3.1845047e-02
1.1211422e+00,3.3154922e-02,2.4151238e-06
9.1118516e+00,3.3171342e-02,8.4099750e-14
8.4039655e+00,3.3304307e-02,6.6797299e-12
3.7500000e+00,3.3308669e-02,2.1316051e-02
3.4038462e+00,3.3308669e-02,2.0114040e-02
3.9807692e+00,3.3308669e-02,2.0586671e-02
6.4792887e-01,3.3405619e-02,1.8820786e-06
9.7039565e+00,3.3573302e-02,4.4987688e-14
9.2302744e+00,3.3617876e-02,6.0171554e-14
6.1494215e+00,3.3638716e-02,2.0423115e-06
4.7794490e+00,3.3756333e-02,2.0724495e-02
7.9279870e+00,3.3783134e-02,4.4279607e-10
8.9935528e+00,3.3844376e-02,1.2576618e-13
7.3358229e+00,3.3902307e-02,2.1791539e-08
7.5723936e+00,3.3994156e-02,5.7591760e-09
7.8098054e+00,3.4001474e-02,1.1598611e-09
9.4671237e+00,3.4174556e-02,5.2526433e-14
6.0328160e+00,3.4175144e-02,2.6604309e-06
7.6907996e+00,3.4180143e-02,2.7667177e-09
9.5855263e+00,3.4185213e-02,4.7360177e-14
6.5065789e+00,3.4185213e-02,6.7201420e-07
9.3486842e+00,3.4185213e-02,5.6370910e-14
7.4539633e+00,3.4189114e-02,1.2429625e-08
1.3538249e+00,3.4209114e-02,2.1076666e-06
1.4724916e+00,3.4285675e-02,2.1376404e-06
1.2392385e+00,3.4627698e-02,2.0767245e-06
5.2202941e+00,3.4674307e-02,9.2295591e-04
5.9138198e+00,3.4699485e-02,4.1688371e-06
1.0014269e+00,3.4942585e-02,2.4590589e-06
6.9780793e+00,3.5263781e-02,1.0612143e-07
8.8397457e-01,3.5420548e-02,2.4626322e-06
2.9426631e-01,3.5629307e-02,1.4399940e-06
6.2702892e+00,3.5715509e-02,1.9648128e-06
5.3299308e-01,3.6285099e-02,1.4118155e-06
1.7523461e-01,3.6644327e-02,1.2072403e-06
1.8182296e+00,3.6659456e-02,1.7823858e-06
5.7921428e+00,3.7521596e-02,6.7439207e-06
5.1028420e+00,3.7976532e-02,2.8195616e-03
7.6706284e-01,4.1930504e-02,2.4070350e-06
4.1413208e-01,4.2268805e-02,1.0377702e-06
4.9405009e+00,4.6567835e-02,1.2302114e-02
5.3891680e+00,5.2941287e-02,8.9071885e-05
5.5012183e+00,5.3277187e-02,1.1848068e-05
4.8350026e+00,5.3948485e-02,1.7825835e-02
3.5720762e+00,5.5048131e-02,2.0170495e-02
3.1209938e+00,5.5260824e-02,1.1302790e-02
4.1482357e+00,5.6649564e-02,1.8103566e-02
3.2276885e+00,5.6975014e-02,2.0299584e-02
6.8041527e+00,5.7665454e-02,2.9838315e-07
3.4612078e+00,5.7993259e-02,2.1048905e-02
4.0380096e+00,5.8617944e-02,2.0078252e-02
1.6495685e+00,5.8806332e-02,2.3931251e-06
3.8083206e+00,5.8881074e-02,2.1596715e-02
3.9237052e+00,5.8881074e-02,1.9827945e-02
8.7003110e+00,5.9016141e-02,7.5009094e-13
5.6174341e+00,5.9525346e-02,1.0843509e-05
6.4473100e+00,6.0419224e-02,7.3775424e-07
9.8720684e+00,6.0822285e-02,3.8645226e-14
6.9179170e+00,6.0912213e-02,1.2204032e-07
3.3446768e+00,6.1441800e-02,2.2559829e-02
8.8173998e+00,6.1448943e-02,3.3451923e-13
8.1089823e+00,6.1740342e-02,1.0397407e-10
8.5849602e+00,6.1903145e-02,1.8278911e-12
6.3294413e+00,6.1949519e-02,1.8895503e-06
8.2263779e+00,6.2353387e-02,2.7718842e-11
1.2317658e-01,6.3038052e-02,1.1538170e-06
7.1602897e+00,6.3200045e-02,3.8395023e-08
1.7578771e+00,6.3286177e-02,2.1014461e-06
2.6373343e-02,6.3430763e-02,1.1120809e-06
3.6877915e+00,6.3672211e-02,2.1300993e-02
5.7319453e+00,6.3916828e-02,6.5186912e-06
4.2577601e+00,6.4112601e-02,2.2006204e-02
5.0433449e+00,6.4352215e-02,5.5750675e-03
6.6888945e+00,6.4787955e-02,4.6761229e-07
4.3726363e+00,6.4927135e-02,2.2397157e-02
8.4668624e+00,6.5066465e-02,5.8300146e-12
4.6039462e+00,6.5261803e-02,2.2944107e-02
4.4874213e+00,6.5304795e-02,2.8300999e-02
9.7628598e+00,6.5523899e-02,4.4190123e-14
3.0264437e+00,6.5634626e-02,1.3759896e-02
7.9892793e+00,6.5660408e-02,4.1333293e-10
1.8676563e+00,6.5786991e-02,1.8120037e-06
7.0384867e+00,6.5790824e-02,1.0861373e-07
8.3458114e+00,6.5794625e-02,1.4438630e-11
4.7229280e+00,6.5868164e-02,2.7095076e-02
8.9353366e+00,6.6418165e-02,1.7544258e-13
1.5353538e+00,6.6465286e-02,2.3994200e-06
7.2778104e+00,6.6575308e-02,2.9401628e-08
9.1710733e+00,6.6789217e-02,6.5517392e-14
6.5680007e+00,6.6956146e-02,6.6515972e-07
9.0527728e+00,6.7015718e-02,1.0856558e-13
5.2761287e+00,6.7468521e-02,8.7463273e-04
9.6447460e+00,6.7758515e-02,4.4064119e-14
1.1839102e+00,6.7782620e-02,2.1075896e-06
7.8693713e+00,6.7784608e-02,1.0432031e-09
9.2894849e+00,6.7803089e-02,5.5391224e-14
