Points:0,Points:1,C
5.4444444e+00,2.0147073e-02,2.1927918e-06
4.8888869e+00,2.0192152e-02,5.6203189e-03
3.5189001e+00,2.4684589e-02,2.8760384e-02
4.0957020e+00,2.5309275e-02,2.5906015e-02
3.8660129e+00,2.5572404e-02,3.0203452e-02
6.8608904e+00,2.5648432e-02,2.0823785e-08
6.3880994e+00,2.6234011e-02,1.2064137e-07
4.9960585e+00,2.6375683e-02,1.7209746e-03
6.5589029e-02,2.6393726e-02,9.8117801e-24
5.6766446e+00,2.6395232e-02,8.7285574e-07
3.0649052e+00,2.6418940e-02,1.3508164e-02
1.7043534e+00,2.6626721e-02,1.8671266e-23
3.2869845e+00,2.8133131e-02,3.0013378e-02
3.1714733e+00,2.8841884e-02,1.9354712e-02
9.9315862e+00,2.8871688e-02,4.8918180e-15
8.7571951e+00,2.8875155e-02,6.2922687e-14
1.9317797e+00,2.9127535e-02,1.3395720e-23
8.1661110e+00,2.9863068e-02,5.5059643e-12
8.6404844e+00,3.0140986e-02,1.3602312e-13
3.6300992e+00,3.0363542e-02,3.2013485e-02
7.0998811e+00,3.0527043e-02,6.3437707e-09
4.2063799e+00,3.1340289e-02,2.9343570e-02
8.5234232e+00,3.1762159e-02,3.6347097e-13
8.0481344e+00,3.1877273e-02,1.9752142e-11
9.8220612e+00,3.1950597e-02,6.2832095e-15
6.7458939e+00,3.2017022e-02,4.8631654e-08
4.6657012e+00,3.2111831e-02,2.2111685e-02
4.4366407e+00,3.2154823e-02,1.8143331e-02
1.5922740e+00,3.2179611e-02,2.0676186e-23
8.2839511e+00,3.2490318e-02,2.4029884e-12
8.8759943e+00,3.2573788e-02,3.2862850e-14
7.2183033e+00,3.2673002e-02,4.5540914e-09
6.6272112e+00,3.2770933e-02,7.4430949e-08
4.3206110e+00,3.2772312e-02,2.0236914e-02
5.3336124e+00,3.2794213e-02,1.8238514e-05
5.5592105e+00,3.3130114e-02,1.4794969e-06
4.5493561e+00,3.3149972e-02,3.7195860e-02
1.1211422e+00,3.3154922e-02,2.0884456e-23
9.1118516e+00,3.3171342e-02,1.2899378e-14
8.4039655e+00,3.3304307e-02,1.0245639e-12
3.7500000e+00,3.3308669e-02,3.2491926e-02
3.4038462e+00,3.3308669e-02,3.0837933e-02
3.9807692e+00,3.3308669e-02,3.1038004e-02
6.4792887e-01,3.3405619e-02,1.6327662e-23
9.7039565e+00,3.3573302e-02,6.9002926e-15
9.2302744e+00,3.3617876e-02,9.2292238e-15
6.1494215e+00,3.3638716e-02,3.1365585e-07
4.7794490e+00,3.3756333e-02,1.1687405e-02
7.9279870e+00,3.3783134e-02,6.7924220e-11
8.9935528e+00,3.3844376e-02,1.9290261e-14
7.3358229e+00,3.3902307e-02,3.3437716e-09
7.5723936e+00,3.3994156e-02,8.8358348e-10
7.8098054e+00,3.4001474e-02,1.7792867e-10
9.4671237e+00,3.4174556e-02,8.0565994e-15
6.0328160e+00,3.4175144e-02,4.0862785e-07
7.6907996e+00,3.4180143e-02,4.2445117e-10
9.5855263e+00,3.4185213e-02,7.2641893e-15
6.5065789e+00,3.4185213e-02,1.0317477e-07
9.3486842e+00,3.4185213e-02,8.6462727e-15
7.4539633e+00,3.4189114e-02,1.9071153e-09
1.3538249e+00,3.4209114e-02,1.8171530e-23
1.4724916e+00,3.4285675e-02,1.8371910e-23
1.2392385e+00,3.4627698e-02,1.7940455e-23
5.2202941e+00,3.4674307e-02,2.0407819e-04
5.9138198e+00,3.4699485e-02,6.4039798e-07
1.0014269e+00,3.4942585e-02,2.1285279e-23
6.9780793e+00,3.5263781e-02,1.6287247e-08
8.8397457e-01,3.5420548e-02,2.1333992e-23
2.9426631e-01,3.5629307e-02,1.2524703e-23
6.2702892e+00,3.5715509e-02,3.0174228e-07
5.3299308e-01,3.6285099e-02,1.2255556e-23
1.7523461e-01,3.6644327e-02,1.0505367e-23
1.8182296e+00,3.6659456e-02,1.5070376e-23
5.7921428e+00,3.7521596e-02,1.0362211e-06
5.1028420e+00,3.7976532e-02,7.2748172e-04
7.6706284e-01,4.1930504e-02,2.0872265e-23
4.1413208e-01,4.2268805e-02,9.0160950e-24
4.9405009e+00,4.6567835e-02,4.7241710e-03
5.3891680e+00,5.2941287e-02,1.5434357e-05
5.5012183e+00,5.3277187e-02,1.8381648e-06
4.8350026e+00,5.3948485e-02,8.7566639e-03
3.5720762e+00,5.5048131e-02,3.0844173e-02
3.1209938e+00,5.5260824e-02,1.7373143e-02
4.1482357e+00,5.6649564e-02,2.6924113e-02
3.2276885e+00,5.6975014e-02,3.1173462e-02
6.8041527e+00,5.7665454e-02,4.5801869e-08
3.4612078e+00,5.7993259e-02,3.2267868e-02
4.0380096e+00,5.8617944e-02,3.0265105e-02
